Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,IoT_ANT,U.FL_Hirose_U.FL-R-SMT-1_Vertical,140.56,-73.025001,90.0,top
AE2,GNSS_ANT,U.FL_Hirose_U.FL-R-SMT-1_Vertical,132.735,-73.030001,90.0,top
C1,4u7,C_0603_1608Metric,161.5,-85.75,90.0,top
C2,100n,C_0402_1005Metric,161.535,-88.650001,-90.0,top
C3,100n,C_0402_1005Metric,158.435,-85.025001,0.0,top
C4,100n,C_0402_1005Metric,152.135,-84.975001,0.0,top
C5,100n,C_0402_1005Metric,157.885,-99.675001,180.0,top
C6,100n,C_0402_1005Metric,146.735,-88.950001,90.0,top
C7,100n,C_0402_1005Metric,146.785,-96.075001,90.0,top
C8,100n,C_0402_1005Metric,160.45,-73.9,-90.0,top
C11,100n,C_0402_1005Metric,166.9,-107.0,-90.0,top
C12,10u,C_0603_1608Metric,170.4,-107.05,-90.0,top
C13,10u,C_0603_1608Metric,168.4,-107.05,-90.0,top
C14,100n,C_0402_1005Metric,162.01,-110.000001,180.0,top
C15,22u,C_0805_2012Metric,163.0,-116.0,90.0,top
C16,22u,C_0805_2012Metric,160.65,-116.0,90.0,top
C17,22u,C_0805_2012Metric,158.3,-116.0,90.0,top
C18,100n,C_0402_1005Metric,165.66,-91.450001,180.0,top
C21,10p,C_0402_1005Metric,143.9,-92.0,-90.0,top
C22,33p,C_0402_1005Metric,145.2,-92.02,-90.0,top
C23,100n,C_0402_1005Metric,146.45,-92.02,-90.0,top
C24,100u,CP_EIA-3528-21_Kemet-B,145.3,-84.8375,90.0,top
C25,10n,C_0402_1005Metric,142.1,-101.05,-90.0,top
C28,1u,C_0603_1608Metric,156.46,-104.150001,90.0,top
C29,1u,C_0603_1608Metric,153.81,-100.95,0.0,top
C36,100n,C_0402_1005Metric,130.45,-100.25,0.0,top
C37,10n,C_0402_1005Metric,129.31,-96.700001,180.0,top
D1,PESD2CAN,SOT-23,165.41,-80.250001,270.0,top
D2,LED,D_0603_1608Metric,154.75,-72.0,180.0,top
Q1,BC817,SOT-23,164.625,-96.425,180.0,top
Q2,BC817,SOT-23,144.55,-100.5,0.0,top
Q4,BC817,SOT-23,164.45,-100.7,180.0,top
R1,10k,R_0402_1005Metric,159.01,-102.950001,-90.0,top
R4,100R,R_0402_1005Metric,168.06,-81.400001,90.0,top
R5,100R,R_0402_1005Metric,162.71,-81.400001,90.0,top
R6,2k2,R_0402_1005Metric,162.1,-94.060001,90.0,top
R7,510R,R_0402_1005Metric,167.56,-98.160001,0.0,top
R8,2k2,R_0402_1005Metric,161.3,-99.75,180.0,top
R9,510R,R_0402_1005Metric,167.05,-100.2,-90.0,top
R10,100k,R_0402_1005Metric,168.06,-95.910001,90.0,top
R11,27k,R_0402_1005Metric,168.06,-93.260001,90.0,top
R12,100k,R_0402_1005Metric,161.96,-104.750001,180.0,top
R13,27k,R_0402_1005Metric,161.45,-102.94,90.0,top
R14,4k7,R_0402_1005Metric,147.0,-101.15,-90.0,top
R15,47k,R_0402_1005Metric,145.05,-102.7,0.0,top
R17,2k2,R_0402_1005Metric,157.45,-73.325,0.0,top
R18,4k7,R_0402_1005Metric,151.225,-74.7,90.0,top
R19,47k,R_0402_1005Metric,151.7,-72.95,180.0,top
R28,0R,R_0402_1005Metric,139.9,-96.75,0.0,top
R29,0R,R_0402_1005Metric,136.66,-97.290002,-90.0,top
R30,0R,R_0402_1005Metric,137.96,-97.300001,-90.0,top
R31,51k,R_0402_1005Metric,138.1,-105.45,180.0,top
R32,15k,R_0402_1005Metric,136.7,-99.7,-90.0,top
R33,20k,R_0402_1005Metric,130.96,-98.540001,-90.0,top
R34,10k,R_0402_1005Metric,129.31,-97.990001,0.0,top
R35,0R,R_0402_1005Metric,132.76,-97.300001,-90.0,top
R36,0R,R_0402_1005Metric,134.06,-97.300001,-90.0,top
R37,10k,R_0402_1005Metric,128.55,-114.35,-90.0,top
R38,0R,R_0402_1005Metric,140.55,-77.9,90.0,top
R39,0R,R_0402_1005Metric,132.75,-77.8,90.0,top
SW1,RST,XKB_TS_1187A,164.05,-73.85,180.0,top
SW3,IoT_RST,XKB_TS_1187A,155.8,-76.5,0.0,top
U1,STM32L431RCTx,LQFP-64_10x10mm_P0.5mm,154.135,-92.350001,180.0,top
U2,TPS562201,SOT-23-6,162.0475,-107.300001,0.0,top
U3,SN65HVD231,SOIC-8_3.9x4.9mm_P1.27mm,165.61,-86.950001,0.0,top
Y1,16 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,156.235,-81.675001,180.0,top
