Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4u7,
C10,0402,1,100n,
C11,0402,1,100n,
C14,0603,1,10u,
C15,0603,1,10u,
C16,0402,1,100n,
C17,0402,1,100n,
C18,1206,1,22u,
C19,1206,1,22u,
C2,0402,1,100n,
C20,0402,1,100n,
C21,0402,1,100n,
C3,0402,1,100n,
C4,0402,1,100n,
C5,0402,1,100n,
C6,0402,1,100n,
C7,0402,1,100n,
D1,SOT-23-3,1,PESD2CAN_215,"PESD2CAN,215"
D2,0603,1,LED,
"Q1, Q2",SOT-23,2,s8050,
R1,0402,1,100R,
R10,0603,1,22R,
R11,0402,1,4k7,
R12,0402,1,4k7,
R15,0402,1,10k,
R16,0402,1,510R,
R17,0402,1,510R,
R18,0402,1,2k2,
R19,0402,1,2k2,
R2,0402,1,100R,
R20,0402,1,100k,
R21,0402,1,27k,
R22,0402,1,100k,
R23,0402,1,27k,
R24,0402,1,4k7,
R25,0402,1,4k7,
R3,0402,1,0R,
R4,0402,1,10k,
R5,0603,1,22R,
R6,0603,1,22R,
R7,0603,1,22R,
R8,0603,1,22R,
R9,0603,1,22R,
SW1,XKB_TS_1187A,1,RST,
SW2,XKB_SS-3292S,1,BOOT0,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32L431RCTx,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD231,
U3,SOT-23-6,1,TPS562201,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16 MHz,
