"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C23,C18,C2,C7,C14,C3,C36,C6,C5,C11,C8";"C_0402_1005Metric";12;"100n";;;
2;"R19,R15";"R_0402_1005Metric";2;"47k";;;
3;"R8,R17,R6";"R_0402_1005Metric";3;"2k2";;;
4;"C1";"C_0603_1608Metric";1;"4u7";;;
5;"AE1";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"IoT_ANT";;;
6;"R30,R35,R38,R36,R39,R29,R28";"R_0402_1005Metric";7;"0R";;;
7;"D1";"SOT-23";1;"PESD2CAN";;;
8;"SW3";"XKB_TS_1187A";1;"IoT_RST";;;
9;"R7,R9";"R_0402_1005Metric";2;"510R";;;
10;"R32";"R_0402_1005Metric";1;"15k";;;
11;"R4,R5";"R_0402_1005Metric";2;"100R";;;
12;"R34,R1,R37";"R_0402_1005Metric";3;"10k";;;
13;"AE2";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"GNSS_ANT";;;
14;"C37,C25";"C_0402_1005Metric";2;"10n";;;
15;"C13,C12";"C_0603_1608Metric";2;"10u";;;
16;"C16,C17,C15";"C_0805_2012Metric";3;"22u";;;
17;"R33";"R_0402_1005Metric";1;"20k";;;
18;"Q1,Q2,Q4";"SOT-23";3;"BC817";;;
19;"R10,R12";"R_0402_1005Metric";2;"100k";;;
20;"D2";"D_0603_1608Metric";1;"LED";;;
21;"R11,R13";"R_0402_1005Metric";2;"27k";;;
22;"C22";"C_0402_1005Metric";1;"33p";;;
23;"R18,R14";"R_0402_1005Metric";2;"4k7";;;
24;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32L431RCTx";;;
25;"C28,C29";"C_0603_1608Metric";2;"1u";;;
26;"R31";"R_0402_1005Metric";1;"51k";;;
27;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16 MHz";;;
28;"U2";"SOT-23-6";1;"TPS562201";;;
29;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD231";;;
30;"SW1";"XKB_TS_1187A";1;"RST";;;
31;"C24";"CP_EIA-3528-21_Kemet-B";1;"100u";;;
32;"C21";"C_0402_1005Metric";1;"10p";;;
